,id,name,type,area,city,state,latitude,longitude
99,8e849da9-de78-4b9b-93b9-4303f2687786,Aeon BiG Klang Jalan Kapar,Hypermarket,Sungai Pinang,Klang,Selangor,,
100,3a9fe6ac-96c9-4b8f-9337-fca0d8e02b03,Aeon BiG Kluang,Hypermarket,Mukim Kluang,Daerah Kluang,Johor,,
101,38364e3f-f562-4852-9dc2-e806858501ed,Aeon BiG Kuantan,Hypermarket,Putra Square,Kuantan,Pahang,,
102,6f49c8cc-6bbd-457e-81ea-831dd5b70c22,Aeon BiG Penang Prai,Hypermarket,Seberang Jaya,Perai,Pulau Pinang,,
103,f78a6cf0-6a1d-4d38-9623-061808ef4b64,Aeon BiG Puchong,Hypermarket,Persiaran Puchong Utama,Puchong,Selangor,,
104,a9164513-37ed-4cab-b745-8bc7a59d5ef8,Aeon BiG Putrajaya,Hypermarket,Jalan Alamanda,Presint 1,Putrajaya,,
105,83e60c84-39b9-430c-876a-7f23434d8f80,Aeon BiG Seksyen 23,Hypermarket,Seksyen 23,Shah Alam,Selangor,,
106,c444666b-c7af-40cc-866f-fb895d196f87,Aeon BiG Sri Petaling,Hypermarket,Taman Sri Endah,Bandar Baru Sri Petaling,Kuala Lumpur,,
107,26d4b4a6-ff90-4808-be76-1784c2c187b0,Aeon BiG Subang Jaya,Hypermarket,Jalan SS16/1,Subang Jaya,Selangor,,
108,a1b9a013-fec3-4aa1-a163-5abfcb10eeb9,Aeon BiG Sutera Utama,Hypermarket,Taman Sutera Utama,Johor Bahru,Johor,,
109,4350957e-5238-4d16-abf1-49b2139cd852,Aeon BiG Tropicana City Mall,Hypermarket,Jalan SS20/27,Petaling Jaya,Selangor,,
110,07ebb762-74fa-4e52-b5da-4579a28a3d5f,Tesco Ampang,Hypermarket,Dataran Pandan Indah,Ampang,Kuala Lumpur,,
111,9e3a9d0f-bbb4-4cc6-9ba3-fc5e1bf3759e,Tesco Bandar Puteri Bangi,Hypermarket,Bandar Puteri Bangi,Kajang,Selangor,,
112,f4377c52-e13a-44b1-93e0-69a14c6c1ba8,Tesco Bertam Perdana,Hypermarket,Pusat Bandar Bertam Perdana,Seberang Perai Utama,Pulau Pinang,,
113,088855df-7375-418d-86a3-aa6ae9ddb2fd,Tesco Bukit Beruntung,Hypermarket,Bandar Bukit Sentosa,Rawang,Selangor,,
114,1d354300-1880-492b-83cf-823ccdf23424,Tesco Bukit Mertajam,Hypermarket,Pusat Perniagaan Seri Impian,Bukit Mertajam,Pulau Pinang,,
115,2720c4b9-9eed-4c1c-bb34-ea97a396097e,Tesco Express Ayer Itam,Convenience Store,Jalan Paya Terubong,Ayer Itam,Pulau Pinang,,
116,b4c19f6a-3004-4ce4-aa28-a4eeb4c5cdf8,Tesco Express Relau,Convenience Store,Jalan Paya Terubung,Relau,Kuala Lumpur,,
117,a878afd5-9a1b-4fd4-b896-2b12fd48017a,Tesco Express Shah Alam,Convenience Store,Seksyen 19,Shah Alam,Selangor,,
118,d21074c6-3f12-46db-80a8-95d9aedc4f0f,Tesco Express Teluk Pulai,Convenience Store,Kampung Sungai Udang,Klang,Selangor,,
119,0f94d70b-a7d2-4d14-84b6-e94c6fc25451,Tesco Express USJ,Convenience Store,UEP Subang Jaya,Subang Jaya,Selangor,,
120,b730feb6-4b30-410d-b71c-1239876e7280,Tesco Extra Ara Damansara,Hypermarket,Ara Damansara,Petaling Jaya,Selangor,,
121,9e0975ad-a5de-4ae8-9fa2-a6a3166efbc5,Tesco Extra Bandar Sri Permaisuri,Hypermarket,Bandar Sri Permaisuri,Cheras,Selangor,,
122,08fad028-6bd5-49cb-bade-633db8f839ad,Tesco Extra Bukit Puchong,Hypermarket,Bandar Bukit Puchong,Puchong,Selangor,,
123,2a688882-f6aa-49b2-8bb3-c4875c75a564,Tesco Extra Cheras,Hypermarket,Taman Midah,Cheras,Selangor,,
124,26ada1e9-0ef8-47d8-a5dd-26f66d71024c,Tesco Extra Ipoh,Hypermarket,Taman Tasek Indra,Ipoh,Perak,,
125,161cfafa-bebd-44f3-be14-84812d5b03b8,Tesco Extra Mutiara Damansara,Hypermarket,Mutiara Damansara,Petaling Jaya,Selangor,,
126,a14c2674-e13a-45f8-94af-bbd5f11344bf,Tesco Extra Penang,Hypermarket,Jalan Sungai Dua,Sungai Dua,Pulau Pinang,,
127,c3338e73-7050-4512-90ea-50f8d8f67f8c,Tesco Extra Plentong,Hypermarket,Masai,Johor Bahru,Johor,,
128,f212bc0e-b835-40c5-8582-1d7ac2d4995c,Tesco Extra Puchong,Hypermarket,Pusat Bandar Puchong,Puchong,Selangor,,
129,f73f6f67-1d2d-4335-a15c-aadf41ad1317,Tesco Extra Seberang Jaya,Hypermarket,Persiaran Sembilang Seberang Jaya,Seberang Prai Tengah,Pulau Pinang,,
130,dde493e9-19f2-4e38-a766-7649e58c73ec,Tesco Extra Selayang,Hypermarket,Jalan Sultan Azlan Shah,Taman Kok Lian,Kuala Lumpur,,
131,acbc01a7-aea8-4a14-89bc-44ed31e93f32,Tesco Extra Seremban 2,Hypermarket,Bukit Kepayang,Seremban,Negeri Sembilan,,
132,36a8596f-7e55-4fde-800f-8ef278485e6b,Tesco Extra Seremban Jaya,Hypermarket,Taman Seremban Jaya,Seremban,Negeri Sembilan,,
133,ed68eaf2-1758-4490-95a0-19188c28a02e,Tesco IOI City Mall,Hypermarket,IOI Resort City,Putrajaya,WP Putrajaya,,
134,7d4e2dce-87ec-4b0b-842e-7bea23218979,Tesco Ipoh,Hypermarket,Taman Teh Teng Seng,Ipoh,Perak,,
135,73a1deec-e7eb-4d06-84de-186381cd5284,Tesco Jenjarom,Hypermarket,Taman Seri Jaromas,Jenjarom,Kuala Lumpur,,
136,8933bd90-8bf9-4960-b635-4f22b6a67220,Tesco Jitra,Hypermarket,Kompleks Perniagaan Aman,Jitra,Kedah,,
137,a72936fd-3c16-4b74-b4ad-61c4c7980af0,Tesco Kampar,Hypermarket,Taman Kampar Perdana,Kampar,Perak,,
138,dbf27b16-0d72-4858-8a91-68068f01912b,Tesco Kepong,Hypermarket,Bandar Manjalara,Kepong,Kuala Lumpur,,
139,e8fba66f-c2d6-4d4d-beb7-63b3e438a9b6,Tesco Klang,Hypermarket,Bandar Bukit Tinggi,Klang,Selangor,,
140,c6c392d4-5958-49c1-a2ec-7180eeb3b564,Tesco KSL City,Hypermarket,Taman Century,Johor Bahru,Johor,,
141,1d0465e8-98ae-496c-a83f-6ca362d4aa84,Tesco Lukut,Hypermarket,Lukut Prima,Port Dickson,Negeri Sembilan,,
142,1562e84e-adb5-430c-80b4-f0bcab47732d,Tesco Manjung,Hypermarket,Jalan Lumut,Lumut,Perak,,
143,7ae540fc-36d2-4e0f-81a4-09e1d3859614,Tesco Melaka,Hypermarket,Jalan Tun Razak,Peringgit,Melaka,,
144,9bdeea49-b531-4596-a382-7a8cfc629e51,Tesco Melaka Cheng,Hypermarket,Taman Paya Rumput Utama,Melaka,Melaka,,
145,704d892c-5890-4998-8dfc-263bd86f0d64,Tesco Mergong (Alor Setar),Hypermarket,Bandar Alor Setar,Alor Setar,Kedah,,
146,013f30b1-0738-4a05-aa64-589bf2f2af20,Tesco Mutiara Damansara,Hypermarket,Mutiara Damansara,Petaling Jaya,Selangor,,
147,5dec6b6c-1ec6-4af6-8261-1ae56a5e4af4,Tesco Paradigm Mall,Hypermarket,Kelana Jaya,Petaling Jaya,Selangor,,
148,0015724d-f7f9-4355-98d4-46a9f3e497db,Tesco Parit Raja,Hypermarket,Parit Raja,Batu Pahat,Johor,,
149,11ddaa90-1139-491f-b113-a6ccc7f56927,Tesco Penang,Hypermarket,Lebuh Tengku Kudin 1,Bandar Jelutong,Pulau Pinang,,
150,e4c1fcad-8686-42f6-bd95-fb2532f3b9d8,Tesco Pernama Express Jinjang,Convenience Store,Jalan Jinjang Aman,Jinjang Utara,Kuala Lumpur,,
151,7e10d939-32c2-48b2-97fd-ff4dd75d7424,Tesco Pernama Express PJCC,Convenience Store,PJCC,Petaling Jaya,Selangor,,
152,be30cfe4-0686-4527-a069-24b40d78fa6d,Tesco Pernama Wangsa Permai,Convenience Store,Taman Wangsa Permai,Kepong,Kuala Lumpur,,
153,9338bd42-64e5-4508-b336-4112e09ea1ff,Tesco Puncak Alam,Hypermarket,Puncak Bestari,Bandar Puncak Alam,Selangor,,
154,7d2e8112-1057-44c0-8a6a-d75e43afff3f,Tesco Putra Nilai,Hypermarket,Putra Nilai,Nilai,Negeri Sembilan,,
155,6e887c30-4298-4ce1-a47f-a3d792b841cd,Tesco Rawang,Hypermarket,Jalan Rawang,Rawang,Selangor,,
156,4c19645e-5195-4add-9806-b235de2158c0,Tesco Semenyih,Hypermarket,Taman Pelangi Semenyih,Semenyih,WP Putrajaya,,
157,1d4661d2-ebd8-44c9-b411-a1d80804fca4,Tesco Seri Iskandar,Hypermarket,Jalan Susur Utama,Seri Iskandar,Selangor,,
158,95d5c850-3c55-4921-8632-4753a0a75708,Tesco Setia Alam,Hypermarket,Setia Alam,Shah Alam,Selangor,,
159,5caea34a-0c18-4aa5-824d-848a0a92d2fe,Tesco Shah Alam,Hypermarket,Seksyen 13,Shah Alam,Selangor,,
160,c35a9815-7841-49c2-8ce8-16539e078b4f,Tesco Stargate,Hypermarket,Lebuhraya Sultanah Bahiyah,Alor Setar,Kedah,,
161,74e443af-800a-4883-9f32-ca074fdbed74,Tesco Station 18,Hypermarket,Station 18 Pengkalan,Ipoh,Perak,,
162,6fb26452-24c8-4dda-92f2-42b281e507a6,Tesco Taiping,Hypermarket,Jalan Istana Larut,Taiping,Perak,,
163,9a06bf5f-778c-4851-a14b-bc11adf0f066,Tesco Tanjung Pinang,Hypermarket,Jalan Seri Tanjung Pinang,Tanjong Tokong,Pulau Pinang,,
164,f1d3b53a-5b74-4b00-9f40-c82abc9b035f,TMC Bangsar,Supermarket,Lucky Garden,Bangsar,Kuala Lumpur,,
165,9caad353-9ee5-4b4f-96ef-36e8e2406c33,Giant Sungai Wang,Supermarket,Jalan Sultan Ismail,Pudu,Kuala Lumpur,,
166,e42677cb-ab74-4aff-b093-f0f6a0f523af,Giant Desa Petaling,Supermarket,Jalan 1/125E,Taman Desa Petaling,Kuala Lumpur,,
167,6ab25068-606d-4a7a-9da9-9f9df309908a,Giant OUG Plaza,Supermarket,Jalan Klang Lama,Taman OUG,Kuala Lumpur,,
168,95a1c41c-39c9-404e-a9c6-e3905494c25f,Giant Petaling Jaya,Supermarket,Wisma Thrifty,Petaling Jaya,Kuala Lumpur,,
169,9f7887ca-d6a4-4c87-b534-627e55bf06a2,Giant Ampang Point,Supermarket,Jalan Memanda 3,Ampang,Kuala Lumpur,,
170,4be874cd-a115-4b21-a2e9-287146945488,Giant Pandan Kapital,Superstore,Pandan Indah,Kampung Datuk Keramat,Kuala Lumpur,,
171,32234241-c016-4e5a-b4c9-ec920f9c0253,Giant Kepong Brem Mall,Supermarket,Jalan Kepong,Kepong,Kuala Lumpur,,
172,4f331efa-940e-4ff9-93aa-e3683ebf8fd3,Giant Setiawangsa,Supermarket,Jalan Setiawangsa,Taman Setiawangsa,Kuala Lumpur,,
173,904599d3-af4f-47c7-8dc1-d483257a7dbc,Giant Paramount,Supermarket,Taman Paramount,Petaling Jaya,Selangor,,
174,30f26b17-8395-4ae7-94ea-46898169718f,Giant Setapak,Hypermarket,Taman Danau Kota,Setapak,Kuala Lumpur,,
175,eee01e21-16b5-4d03-81e5-8100db8d7756,Giant Taman Connaught,Superstore,Taman Connaught,Cheras,Kuala Lumpur,,
176,aaaf654a-79a1-488a-a7e9-12caa2f6780c,Giant Cheras,Hypermarket,Taman Segar,Cheras,Kuala Lumpur,,
177,b9302fec-384a-4c55-8315-3e06e96b6e55,Giant Sri Manja,Superstore,Taman Sri Manja,Jalan Kelang Lama,Selangor,,
178,2d9dd962-1153-4849-9d66-7f90727a0ad7,Giant Bandar Baru Ampang,Hypermarket,Bandar Baru Ampang,Ampang,Selangor,,
179,1e6f26a9-b4f4-4b45-9457-f2e1fae936c5,Giant Puchong,Superstore,Taman Kinrara,Puchong,Selangor,,
180,12ef4ba9-b1a6-4d84-8107-6123a7e3cb19,Giant Kota Damansara,Hypermarket,Kota Damansara,Petaling Jaya,Selangor,,
181,e094aab7-d058-4cf8-81f3-b4df28155e56,Giant Kelana Jaya,Hypermarket,Kelana Jaya,Petaling Jaya,Selangor,,
182,2dc187d6-99d5-4750-86c7-349afbd69d53,Giant Ulu Kelang,Superstore,Taman Permata,Wangsa Maju,Kuala Lumpur,,
183,b11f8fde-e3d4-4109-8eba-64fbb32feba6,Giant Kelana Jaya,Hypermarket,SS6 Kelana Jaya,Petaling Jaya,Kuala Lumpur,,
184,04e07011-636d-4008-8121-06ed744c31d0,Giant Batu Caves,Hypermarket,Bandar Selayang,Gombak,Selangor,,
185,95cf04e9-e9db-4f30-b9ea-838b0cdf3235,Giant Bandar Kinrara,Hypermarket,Bandar Kinrara,Puchong,Selangor,,
186,d886f1e3-d547-4f66-a1eb-81e4872aeeb1,Giant Cheras,Superstore,Taman Cheras Utama,Cheras,Selangor,,
187,11f62772-78f2-41fd-99e0-0d738a2d3004,Giant South City,Superstore,Taman Serdang Perdana,Seri Kembangan,Selangor,,
188,f63dbc46-79ea-4a14-823a-d8e8bd20cd6d,Giant Cheras,Hypermarket,Lebuhraya Cheras - Kajang,Cheras,Selangor,,
189,46ceac2b-3a96-4c48-92d1-fba8133f0168,Giant The Mines,Hypermarket,Jalan Dulang Mines Resort City,Seri Kembangan,Selangor,,
190,dd0c0b0f-7753-4eaf-950c-f9794410712c,Giant Subang Jaya,Hypermarket,Subang Permai,Subang Jaya,Selangor,,
191,ec6f44bc-0c14-42ef-920c-6c774940caf1,Giant Summit USJ,Supermarket,Persiaran Kewajipan USJ,Subang Jaya,Selangor,,
192,042be8b2-2a2e-4db8-9eb1-27c1bf559613,Giant IOI Bandar Puteri,Superstore,Bandar Puteri,Puchong,Selangor,,
193,399c4543-6b6e-4ce5-b201-0e9192369b9d,Giant Star Avenue,Superstore,Seksyen U5,Shah Alam,Selangor,,
194,16f2cda9-1df4-402d-b075-dd720ad90b29,Giant Shah Alam Stadium,Hypermarket,Seksyen 13,Shah Alam,Selangor,,
195,16cf188a-7e90-4eb6-99e8-73fc98a09927,Giant Seri Kembangan,Hypermarket,Pusat Bandar Putra Permai,Seri Kembangan,Selangor,,
196,a29bd907-e66e-4520-9cee-db9ff0ac72e4,Giant Shah Alam S9,Supermarket,Seksyen 9,Shah Alam,Selangor,,
197,3263e256-e0b8-43d8-b1f3-f430a898281a,Giant Prima Saujana,Superstore,Taman Prima Saujana,Kajang,Selangor,,
198,351a9f0f-aaa9-4c2e-abec-1b6d0ae6f54b,Giant Kajang,Hypermarket,Jalan Tun Abdul Aziz,Kajang,Selangor,,
199,dfaa7994-607b-44c2-8896-b25a6bbfa79c,Giant Kajang,Hypermarket,Taman Kajang Mewah,Kajang,Selangor,,
200,dae22a6f-7cee-4f23-a955-2669155ec743,Giant Putra Heights,Hypermarket,Persiaran Putra Perdana,Putra Heights,Selangor,,
201,ba012647-6e27-4a25-9d80-08924dc475c2,Giant Kemuning Utama,Hypermarket,Seksyen 33,Shah Alam,Selangor,,
202,33ae49b9-0af4-417a-96f4-e1bc03682c02,Giant Shah Alam S18,Supermarket,Seksyen 18,Shah Alam,Selangor,,
